date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:40	67/67	---M--	200	added ('OK')	text/plain	etag:%2264c9168a-43%22	https://www.imem.app/robots.txt		(from )
11:55:40	1399/1399	---M--	200	added ('OK')	text/html	etag:%2264c9168a-577%22	https://www.imem.app/	/Users/userdev/www/FASE-NOVA/Sites/ZapWallet/zapwallet/www.imem.app/index.html	(from )
11:55:40	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%2264c9168a-3aee%22	https://www.imem.app/favicon.ico	/Users/userdev/www/FASE-NOVA/Sites/ZapWallet/zapwallet/www.imem.app/favicon.ico	(from https://www.imem.app/)
11:55:41	5302/5302	---M--	200	added ('OK')	image/png	etag:%2264c9168a-14b6%22	https://www.imem.app/apple-touch-icon.png	/Users/userdev/www/FASE-NOVA/Sites/ZapWallet/zapwallet/www.imem.app/apple-touch-icon.png	(from https://www.imem.app/)
11:55:42	1061/1061	---M--	200	added ('OK')	image/png	etag:%2264c9168a-425%22	https://www.imem.app/favicon-32x32.png	/Users/userdev/www/FASE-NOVA/Sites/ZapWallet/zapwallet/www.imem.app/favicon-32x32.png	(from https://www.imem.app/)
11:55:43	715/715	---M--	200	added ('OK')	image/png	etag:%2264c9168a-2cb%22	https://www.imem.app/favicon-16x16.png	/Users/userdev/www/FASE-NOVA/Sites/ZapWallet/zapwallet/www.imem.app/favicon-16x16.png	(from https://www.imem.app/)
11:55:44	10678/10678	---M--	200	added ('OK')	application/javascript	etag:%2264c9168a-29b6%22	https://www.imem.app/js/planet.js	/Users/userdev/www/FASE-NOVA/Sites/ZapWallet/zapwallet/www.imem.app/js/planet.js	(from https://www.imem.app/)
11:55:46	322662/322662	---M--	200	added ('OK')	application/javascript	etag:%2264c9168a-4ec66%22	https://www.imem.app/js/ducks.js	/Users/userdev/www/FASE-NOVA/Sites/ZapWallet/zapwallet/www.imem.app/js/ducks.js	(from https://www.imem.app/)
11:55:47	67249/67249	---M--	200	added ('OK')	application/javascript	etag:%2264c9168a-106b1%22	https://www.imem.app/js/phone_01.js	/Users/userdev/www/FASE-NOVA/Sites/ZapWallet/zapwallet/www.imem.app/js/phone_01.js	(from https://www.imem.app/)
11:55:48	45259/45259	---M--	200	added ('OK')	application/javascript	etag:%2264c9168a-b0cb%22	https://www.imem.app/js/phone_02.js	/Users/userdev/www/FASE-NOVA/Sites/ZapWallet/zapwallet/www.imem.app/js/phone_02.js	(from https://www.imem.app/)
11:55:49	52647/52647	---M--	200	added ('OK')	application/javascript	etag:%2264c9168a-cda7%22	https://www.imem.app/js/phone_03.js	/Users/userdev/www/FASE-NOVA/Sites/ZapWallet/zapwallet/www.imem.app/js/phone_03.js	(from https://www.imem.app/)
11:55:50	92640/92640	---M--	200	added ('OK')	application/javascript	etag:%2264c9168a-169e0%22	https://www.imem.app/js/phone_04.js	/Users/userdev/www/FASE-NOVA/Sites/ZapWallet/zapwallet/www.imem.app/js/phone_04.js	(from https://www.imem.app/)
11:55:50	470/470	---M--	200	added ('OK')	application/json	etag:%2264c9168a-1d6%22	https://www.imem.app/manifest.json	/Users/userdev/www/FASE-NOVA/Sites/ZapWallet/zapwallet/www.imem.app/manifest.json	(from https://www.imem.app/)
